	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
2865192396	0.0	0.0	0.0	0.0	0.0	271.3786809620477	0.0	0.0	0.0	1067.5532579193755	0.0	0.0	0.0	0.0	0.0	0.0	271.0	0.0	0.0	0.0	125.31837747339812	0.0	1945.267572145725	156.2370524003816	0.0	0.0	949.0	0.0	0.0	20.229425611038895	0.0	0.0	718.942073085935	0.0	2813.7856390603165	0.0	0.0	225.0	0.0	0.0	0.0	211.0	0.0	561.3793321978847	55.79306072554411	989.0	0.0	0.0	0.0	0.0	754.0	0.0	842.1413376103519	0.0	878.0	2411.619320252953	868.8153276508774	0.0	2034.8489928197823	2450.060359083307	2322.5590153172247	0.0	548.0	0.0	0.0	0.0	0.0	0.0	688.0	0.0	0.0	96.52496928460502	0.0	0.0	0.0	1690.9328143930536	0.0	0.0	0.0	1092.0178121017634	288.6683845393902	0.0	0.0	0.0	0.0	248.22607512878932	0.0	134.39664572427984	0.0	0.0	0.0	0.0	0.0	0.0	908.54510329328	0.0	0.0	0.0	910.8238010596286	0.0	0.0
2865292417	90.0	0.0	0.0	0.0	0.0	0.0	2133.5788783633593	899.0	0.0	0.0	0.0	1423.2920873687926	0.0	0.0	1832.926011894235	0.0	0.0	0.0	0.0	0.0	277.08575129931063	0.0	4120.1211994660935	0.0	0.0	0.0	0.0	0.0	0.0	162.34247070265445	247.97378926940934	601.4754909788344	0.0	836.2936399614748	0.0	0.0	257.453762936971	644.981583746442	444.0	313.83007619550665	0.0	0.0	0.0	0.0	0.0	313.0	177.92914053072295	1169.4318903189849	0.0	0.0	0.0	132.2435962379888	32.62190975483493	0.0	78.77446986360675	0.0	101.04312590600648	0.0	0.0	10.197741632360497	0.0	0.0	0.0	235.86526038663396	567.0	0.0	0.0	794.0	0.0	0.0	23.822792130347953	123.0	0.0	346.35560268912184	3911.780742631282	0.0	0.0	517.9434034570206	0.0	0.0	1754.8773464873195	0.0	0.0	0.0	0.0	0.0	0.0	577.7162376237753	113.98678744978113	0.0	0.0	0.0	0.0	59.02115279148945	0.0	0.0	223.64586551542564	0.0	0.0	0.0	0.0
2865342458	0.0	282.48399274025286	0.0	43.453811678178404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1610.881785349884	0.0	0.0	745.964140020722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	411.30692761084924	879.0	0.0	0.0	21.107313239469903	143.1121088819093	0.0	0.0	0.0	408.0	393.0	0.0	0.0	0.0	1264.5220280052351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	4856.671058298167	0.0	256.39463019487124	0.0	3045.0987755591163	711.0	16.97362078722686	214.19888281057976	0.0	169.11417656659526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	760.0299097818618	749.0	0.0	0.0	0.0	388.2096235903692	1408.6853297707396	1262.2670039493582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	388.03150882847854	2823.4028923277215	528.5131299890625	0.0	89.59771276395333
2865351897	0.0	136.40320485106832	0.0	0.0	0.0	0.0	0.0	2363.266334585575	3835.8752548559073	155.0	776.8650668049884	2983.6674377747186	0.0	591.2325048218655	0.0	117.93391141710313	86.811890077322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1686.3528310307372	181.81784641946285	0.0	0.0	1934.563646687867	0.0	3278.638365037477	13109.809137928489	121.41452865927268	31.00197073473083	0.0	201.85439283181225	994.0	0.0	1728.7107506168072	0.0	0.0	0.0	38.78882306296599	0.0	209.17730933432432	0.0	0.0	0.0	0.0	0.0	0.0	3109.3159724434613	0.0	0.0	0.0	264.5503201946136	0.0	936.0	147.7527026715045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046.867193354345	129.6975146190194	0.0	0.0	0.0	0.0	0.0	3410.7029146643736	0.0	476.58308125645607	755.0	0.0	0.0	0.0	443.59747961943043	0.0	208.4833628996272	0.0	0.0	257.0685363456664	0.0	0.0	0.0	98.11561919712958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.66634767698093	0.0	157.66251447632322
2865357517	829.0	0.0	2121.2747467210647	0.0	202.2723799982703	0.0	0.0	0.0	18.85410558094683	0.0	5618.952859861671	1030.4225629711073	0.0	225.0	0.0	299.6993888634844	863.5550733984567	0.0	0.0	0.0	0.0	248.10008437046216	417.45480616113247	154.48058141386065	0.0	0.0	0.0	0.0	658.7119956240898	65.37038674982531	0.0	0.0	617.4982611262953	0.0	1214.0441139631403	0.0	330.4274355668194	0.0	0.0	3837.5803285535703	371.7905309540733	0.0	0.0	29.0	0.0	0.0	0.0	525.2274242704867	0.0	257.01374539558	96.11974131039378	0.0	1052.6791942210734	0.0	0.0	0.0	0.0	0.0	953.0	0.0	86.23867963495833	80.45532534857949	614.5899387033954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1928.7837592998096	393.6642770913215	301.7632696121237	0.0	28.0	2668.954438145836	0.0	120.23085260017896	195.97433605761904	0.0	102.58525063939936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.453349317873	0.0	0.0	384.8664288566855	9949.53891960783	810.0	0.0	447.0	238.4290935973321	0.0
2865363366	377.2197462496028	0.0	2229.1444267485226	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	0.0	0.0	413.0	0.0	0.0	329.5306133967144	17.138918467606157	0.0	110.55070406326574	0.0	0.0	0.0	5458.745840133161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	482.0	209.5500752666792	22.64997245528809	0.0	0.0	0.0	5102.3886511194805	401.81178055233266	0.0	0.0	0.0	942.0	0.0	0.0	6496.4238333017765	0.0	208.89047957966932	0.0	0.0	229.1479978751621	346.62976315896793	66.42349036463621	0.0	619.0532339288009	0.0	0.0	0.0	0.0	556.0	403.45970836233613	0.0	0.0	0.0	36.785509493573436	0.0	369.0808527918414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	746.0864226062516	383.20091529647283	0.0	615.1195303116688	0.0	88.29174581668339	280.28758054492494	0.0	338.62503119708146	0.0	0.0	0.0	17.4249465820489	859.9636937880857	0.0	0.0	0.0	311.06157598296096	1484.6195197861302	0.0	0.0	0.0
2865371644	380.81258520939815	0.0	0.0	0.0	231.93917978061904	0.0	939.8526593446097	0.0	0.0	0.0	0.0	214.6652355346133	0.0	97.36039041774202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	321.51829357685136	540.6046643120844	0.0	3248.320205887742	0.0	0.0	0.0	0.0	0.0	215.03367582811202	433.6967199499764	0.0	1093.2689060782182	0.0	0.0	12.081837837349564	650.4354295670782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4437.411396997424	0.0	0.0	1130.5221516483705	323.4377912528476	0.0	0.0	0.0	0.0	33.908880363893594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	427.2544102109644	723.0	0.0	565.0	0.0	890.1904679532337	383.71301673833347	0.0	598.7324913919617	217.04414827481156	420.0	805.0	0.0	30.521668999704822	294.580927260881	95.30805430794243	180.8672144646716	0.0	492.0	0.0	611.0969082818046	170.66092293188393	0.0	0.0	0.0	0.0	0.0	0.0	298.88605116464726	6.708999885159069	0.0	0.0	0.0
2865385185	1032.1235214159656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	950.0	0.0	0.0	269.0	0.0	0.0	840.4972616845054	0.0	2422.1437746898628	81.56302557968858	0.0	239.5601403172278	291.0	329.2848345005795	67.46229763005377	471.4666060761833	0.0	0.0	622.6112739661697	0.0	0.0	0.0	0.0	0.0	408.75283159553607	0.0	872.0	0.0	0.0	200.25879125152173	0.0	0.0	0.0	0.0	826.0	0.0	132.02876505421597	0.0	0.0	198.78046845991727	567.9301420404842	16.124285737624042	0.0	0.0	838.0	0.0	0.0	0.0	12.320017386049535	0.0	180.0	0.0	0.0	811.3151814853159	715.7049400035424	0.0	0.0	186.8031565021984	0.0	0.0	0.0	35.62342795170598	466.50983739663604	0.0	1020.5970078875331	0.0	0.0	0.0	35.660965087503065	0.0	0.0	571.7394460189049	0.0	332.5742700329427	0.0	295.85319147447916	442.3263575886667	0.0	0.0	0.0	541.0	0.0	34.70668235038359	0.0	0.0	0.0	0.0	198.9332605261522	593.0	454.67227047039546	0.0	26.592000152345737	0.0
2865395877	0.0	0.0	0.0	0.0	654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.09983951466177	616.3381645848215	0.0	0.0	474.0262244843746	0.0	80.15983547261752	0.0	881.0	97.1277463017331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.7246265773425	0.0	39.63559064610423	394.06628139797476	0.0	900.5285275595235	0.0	70.44806759219541	0.0	68.0	0.0	0.0	75.27800893786257	9.563775592499672	170.54948360492955	0.0	1851.1653643055965	1691.4378459449536	616.297442096347	0.0	0.0	447.82503560519274	0.0	820.3011652474893	173.4088076084419	0.0	0.0	0.0	151.9949714918701	0.0	0.0	191.43384065785273	0.0	7255.308778795304	52.84530008103745	1731.9272466241075	399.96459726474774	0.0	0.0	0.0	356.6741688596467	0.0	0.0	0.0	0.0	0.0	383.9731197880773	0.0	0.0	0.0	0.0	0.0	702.5069246439693	75.07539250291471	0.0	0.0	0.0	0.0	0.0	333.6581941858751	0.0	104.47536935046911	0.0	0.0	40.768022895057825	0.0
2865401548	0.0	0.0	838.0	0.0	0.0	396.5690900352022	0.0	531.0	450.47151422898486	0.0	0.0	0.0	84.48238305081419	764.0615374243627	373.26200119396856	275.000285818731	460.3493985082406	621.6731149887818	905.0	0.0	0.0	0.0	0.0	1382.2518437327692	18.143916977125777	0.0	0.0	0.0	306.0679940567171	0.0	886.0	0.0	92.6974901575003	0.0	247.12756562019464	0.0	0.0	0.0	0.0	1010.9687059169102	0.0	0.0	0.0	25.78832320980898	3343.5961881326616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1426.3116608270338	0.0	0.0	390.4706680483954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	528.0	0.0	0.0	835.2516240788055	362.3378313959082	306.0	0.0	0.0	348.0	0.0	0.0	0.0	140.4171997381679	0.0	936.0305404141224	0.0	0.0	0.0	1677.9735747604827	68.0	2683.7483730115405	0.0	257.00225924211253	0.0	489.16649559085687	0.0	224.0	0.0	0.0	0.0	0.0	0.0	690.4536528967038	0.0
